고유번호,법정동코드,법정동명,지번,대장구분코드,대장구분명,지목코드,지목,면적,소유구분코드,소유구분명,소유(공유)인수,축척구분코드,축척구분명,데이터기준일자,변동순번,입력구분,원천시도시군구코드
4715034027111710001,4715034027,경상북도 김천시 개령면 광천리,1171-1,1,토지대장,08,대,509.0,01,개인,0,12,1:1200,2025-06-27,173413156,U,47150
4715034027111690000,4715034027,경상북도 김천시 개령면 광천리,1169,1,토지대장,02,답,2340.0,01,개인,0,12,1:1200,2025-06-27,173413110,U,47150
4715034027200290000,4715034027,경상북도 김천시 개령면 광천리,29,2,임야대장,05,임야,12893.0,01,개인,1,30,1:3000,2025-06-27,173413010,U,47150
4715034027200290000,4715034027,경상북도 김천시 개령면 광천리,29,2,임야대장,05,임야,12893.0,01,개인,1,30,1:3000,2025-06-27,173413009,U,47150
4715034027111400000,4715034027,경상북도 김천시 개령면 광천리,1140,1,토지대장,02,답,934.0,01,개인,0,12,1:1200,2025-06-27,173412827,U,47150
4715036023116030001,4715036023,경상북도 김천시 어모면 남산리,1603-1,1,토지대장,03,과수원,1358.0,01,개인,0,12,1:1200,2025-06-27,173412788,U,47150
4715036023116190011,4715036023,경상북도 김천시 어모면 남산리,1619-11,1,토지대장,03,과수원,274.0,01,개인,0,12,1:1200,2025-06-27,173409032,U,47150
4715036023116020000,4715036023,경상북도 김천시 어모면 남산리,1602,1,토지대장,01,전,936.0,01,개인,0,12,1:1200,2025-06-27,173402880,U,47150
4715036023116190011,4715036023,경상북도 김천시 어모면 남산리,1619-11,1,토지대장,03,과수원,274.0,01,개인,0,12,1:1200,2025-06-27,173402813,U,47150
4715036023116030001,4715036023,경상북도 김천시 어모면 남산리,1603-1,1,토지대장,03,과수원,1358.0,01,개인,0,12,1:1200,2025-06-27,173402702,U,47150
4715036023116020000,4715036023,경상북도 김천시 어모면 남산리,1602,1,토지대장,01,전,936.0,01,개인,0,12,1:1200,2025-06-27,173402634,U,47150
4715036023116190011,4715036023,경상북도 김천시 어모면 남산리,1619-11,1,토지대장,03,과수원,274.0,01,개인,0,12,1:1200,2025-06-27,173402564,U,47150
4715036023116030001,4715036023,경상북도 김천시 어모면 남산리,1603-1,1,토지대장,03,과수원,1358.0,01,개인,0,12,1:1200,2025-06-27,173402491,U,47150
4715036023116020000,4715036023,경상북도 김천시 어모면 남산리,1602,1,토지대장,01,전,936.0,01,개인,0,12,1:1200,2025-06-27,173402416,U,47150
4715036023116190011,4715036023,경상북도 김천시 어모면 남산리,1619-11,1,토지대장,03,과수원,274.0,01,개인,0,12,1:1200,2025-06-27,173402280,U,47150
4715036023116190011,4715036023,경상북도 김천시 어모면 남산리,1619-11,1,토지대장,03,과수원,274.0,01,개인,0,12,1:1200,2025-06-27,173402279,U,47150
4715036023116030001,4715036023,경상북도 김천시 어모면 남산리,1603-1,1,토지대장,03,과수원,1358.0,01,개인,0,12,1:1200,2025-06-27,173402215,U,47150
4715036023116030001,4715036023,경상북도 김천시 어모면 남산리,1603-1,1,토지대장,03,과수원,1358.0,01,개인,0,12,1:1200,2025-06-27,173402214,U,47150
4715036023116020000,4715036023,경상북도 김천시 어모면 남산리,1602,1,토지대장,01,전,936.0,01,개인,0,12,1:1200,2025-06-27,173402113,U,47150
4715036023116020000,4715036023,경상북도 김천시 어모면 남산리,1602,1,토지대장,01,전,936.0,01,개인,0,12,1:1200,2025-06-27,173402112,U,47150
4715042025200070004,4715042025,경상북도 김천시 지례면 도곡리,7-4,2,임야대장,05,임야,1105.0,01,개인,0,60,1:6000,2025-06-27,173401851,U,47150
4715042025200070003,4715042025,경상북도 김천시 지례면 도곡리,7-3,2,임야대장,05,임야,4368.0,01,개인,0,60,1:6000,2025-06-27,173401804,U,47150
4715043027102950000,4715043027,경상북도 김천시 부항면 하대리,295,1,토지대장,01,전,936.0,01,개인,0,12,1:1200,2025-06-27,173401765,U,47150
4715043027102940000,4715043027,경상북도 김천시 부항면 하대리,294,1,토지대장,05,임야,225.0,01,개인,0,12,1:1200,2025-06-27,173401680,U,47150
4715041025100850000,4715041025,경상북도 김천시 구성면 광명리,85,1,토지대장,02,답,704.0,01,개인,0,12,1:1200,2025-06-27,173401636,U,47150
4715035026105560000,4715035026,경상북도 김천시 감문면 문무리,556,1,토지대장,08,대,149.0,01,개인,0,12,1:1200,2025-06-27,173401583,U,47150
4715038024110330001,4715038024,경상북도 김천시 대항면 대성리,1033-1,1,토지대장,02,답,3.0,01,개인,1,12,1:1200,2025-06-27,173401527,U,47150
